_id,title,instructor,level,songs,videoUrl,thumbnailSlug
5f0bcb7cad9b2a576eb10134,Hot Girl Summer - Megan Thee Stallion,David Lee,Beginner,Hot Girl Summer,https://www.youtube.com/watch?v=YE7VzlLtp-4,class-thumbnail-1.jpg
5f0bcb7cad9b2a576eb10135,Milk Down To Open Knees,Anna Morrell,Beginner,Shot Clock,https://www.youtube.com/watch?v=YE7VzlLtp-4,class-thumbnail-3.jpg
5f0bcb7cad9b2a576eb10136,How Do You Want It - Teyana Taylor,David Lee,Intermediate,How You Want It?,https://www.youtube.com/watch?v=YE7VzlLtp-4,class-thumbnail-2.jpg
5f0bcb7cad9b2a576eb10137,Booty Dip + Thigh Touch,Anna Morrell,Beginner,Special Affair,https://www.youtube.com/watch?v=YE7VzlLtp-4,class-thumbnail-2.jpg
5f0bcb7cad9b2a576eb10138,Smeeze,Chonkie,Beginner,Bands,https://www.youtube.com/watch?v=YE7VzlLtp-4,class-thumbnail-1.jpg
5f0bcb7cad9b2a576eb10139,Leg Hike Up + Hip Rolls,Anna Morrell,Beginner,All Nite,https://www.youtube.com/watch?v=YE7VzlLtp-4,class-thumbnail-3.jpg
5f0bcb7cad9b2a576eb1013a,Swipe In + Hip Hit,Anna Morrell,Beginner,Promise,https://www.youtube.com/watch?v=YE7VzlLtp-4,class-thumbnail-1.jpg
5f0bcb7cad9b2a576eb1013b,Walk And Out + Down To Leg,Anna Morrell,Beginner,Radar,https://www.youtube.com/watch?v=YE7VzlLtp-4,class-thumbnail-2.jpg
5f0bcb7cad9b2a576eb1013c,Step Out + Hip Rolls,Anna Morrell,Beginner,Girls Need Love,https://www.youtube.com/watch?v=YE7VzlLtp-4,class-thumbnail-2.jpg
5f0bcb7cad9b2a576eb1013d,Hip Roll + Leg Hike Up + Booty Dip,Anna Morrell,Beginner,"""Nails, Hair, Hips, Heels""",https://www.youtube.com/watch?v=YE7VzlLtp-4,class-thumbnail-1.jpg
5f0bcb7cad9b2a576eb1013e,Como Un Bebe - J Balvin & Bad Bunny,CJ Salvador,Advanced,Como Un Bebe,https://www.youtube.com/watch?v=YE7VzlLtp-4,class-thumbnail-3.jpg
5f0bcb7cad9b2a576eb1013f,Hot Shower - Chance The Rapper,Nicole Kirkland,Advanced,Hot Shower,https://www.youtube.com/watch?v=YE7VzlLtp-4,class-thumbnail-2.jpg
5f0bcb7cad9b2a576eb10140,Wrong Way - Dodgr,Nicole Kirkland,Advanced,Wrong Way,https://www.youtube.com/watch?v=YE7VzlLtp-4,class-thumbnail-3.jpg
5f0bcb7cad9b2a576eb10141,Footwork Training 1,Julian Sena,Beginner,In My Feelings,https://www.youtube.com/watch?v=YE7VzlLtp-4,class-thumbnail-1.jpg
5f0bcb7cad9b2a576eb10142,Drippy - IAMDDB,Chris Martin,Advanced,Drippy,https://www.youtube.com/watch?v=YE7VzlLtp-4,class-thumbnail-2.jpg
5f0bcb7cad9b2a576eb10143,How You Want It 2 - Teyana Taylor,Anna Morrell,Beginner,How You Want It?,https://www.youtube.com/watch?v=YE7VzlLtp-4,class-thumbnail-3.jpg
5f0bcb7cad9b2a576eb10144,Motivation - Normani,Anna Morrell,Intermediate,Motivation,https://www.youtube.com/watch?v=YE7VzlLtp-4,class-thumbnail-1.jpg
5f0bcb7cad9b2a576eb10145,10 Minute Grooves Session,Bianca Vallar,Beginner,"Doo-Wop (That Thing),Vivrant Thing,Madiba Riddim",https://www.youtube.com/watch?v=YE7VzlLtp-4,class-thumbnail-2.jpg
5f0bcb7cad9b2a576eb10146,Juicy - Doja Cat,Nicole Kirkland,Advanced,Juicy,https://www.youtube.com/watch?v=YE7VzlLtp-4,class-thumbnail-3.jpg
5f0bcb7cad9b2a576eb10147,Early 2k - Chris Brown,Brian Puspos,Advanced,Early 2k,https://www.youtube.com/watch?v=YE7VzlLtp-4,class-thumbnail-2.jpg
5f0bcb7cad9b2a576eb10148,Easy - Danileigh,CJ Salvador,Advanced,Easy,https://www.youtube.com/watch?v=YE7VzlLtp-4,class-thumbnail-1.jpg
5f0bcb7cad9b2a576eb10149,My Type - Saweetie,Nicole Kirkland,Advanced,My Type,https://www.youtube.com/watch?v=YE7VzlLtp-4,class-thumbnail-3.jpg
5f0bcb7cad9b2a576eb1014a,Buck X2 - BDash,Jaja Vankova,Advanced,Buck X2,https://www.youtube.com/watch?v=YE7VzlLtp-4,class-thumbnail-1.jpg
5f0bcb7cad9b2a576eb1014b,6 Point Arm Wave,Boogie Frantick,Beginner,Someone I Used To Know (Remix),https://www.youtube.com/watch?v=YE7VzlLtp-4,class-thumbnail-2.jpg
5f0bcb7cad9b2a576eb1014c,Sou Sou - Jidenna,CJ Salvador,Advanced,Sou Sou,https://www.youtube.com/watch?v=YE7VzlLtp-4,class-thumbnail-3.jpg
5f0bcb7cad9b2a576eb1014d,Arm & Body Waves,Boogie Frantick,Beginner,21 Questions,https://www.youtube.com/watch?v=YE7VzlLtp-4,class-thumbnail-1.jpg
5f0bcb7cad9b2a576eb1014e,Trace Wave,Boogie Frantick,Beginner,Aaliyah - Rock The Boat (Remix),https://www.youtube.com/watch?v=YE7VzlLtp-4,class-thumbnail-2.jpg
5f0bcb7cad9b2a576eb1014f,Rock Wave,Boogie Frantick,Beginner,Gutter-Funk,https://www.youtube.com/watch?v=YE7VzlLtp-4,class-thumbnail-3.jpg
5f0bcb7cad9b2a576eb10150,Caught Up - Usher,Jay Chris Moore,Intermediate,Caught Up,https://www.youtube.com/watch?v=YE7VzlLtp-4,class-thumbnail-2.jpg
5f0bcb7cad9b2a576eb10151,Concepts & Storytelling with Waves,Boogie Frantick,Beginner,"I'm Down With You",https://www.youtube.com/watch?v=YE7VzlLtp-4,class-thumbnail-2.jpg
5f0bcb7cad9b2a576eb10152,Omnidirectional Wave,Boogie Frantick,Beginner,Rick Valentine,https://www.youtube.com/watch?v=YE7VzlLtp-4,class-thumbnail-1.jpg
5f0bcb7cad9b2a576eb10153,Heel Toes,Boogie Frantick,Beginner,Walk That Way,https://www.youtube.com/watch?v=YE7VzlLtp-4,class-thumbnail-3.jpg
5f0bcb7cad9b2a576eb10154,Front Slide,Boogie Frantick,Beginner,Cloud Orange,https://www.youtube.com/watch?v=YE7VzlLtp-4,class-thumbnail-1.jpg
5f0bcb7cad9b2a576eb10155,Back Slide,Boogie Frantick,Beginner,Blooming,https://www.youtube.com/watch?v=YE7VzlLtp-4,class-thumbnail-2.jpg
5f0bcb7cad9b2a576eb10156,3 Point Hand Wave,Boogie Frantick,Beginner,"I'm Down With You",https://www.youtube.com/watch?v=YE7VzlLtp-4,class-thumbnail-1.jpg
5f0bcb7cad9b2a576eb10157,8 Point Body Wave,Boogie Frantick,Beginner,Hypnotize (Remix),https://www.youtube.com/watch?v=YE7VzlLtp-4,class-thumbnail-2.jpg
5f0bcb7cad9b2a576eb10158,Shoulder Chest Shoulder Wave,Boogie Frantick,Beginner,Gutter-Funk,https://www.youtube.com/watch?v=YE7VzlLtp-4,class-thumbnail-1.jpg
5f0bcb7cad9b2a576eb10159,Side Body Wave,Boogie Frantick,Beginner,Rick Valentine,https://www.youtube.com/watch?v=YE7VzlLtp-4,class-thumbnail-3.jpg
5f0bcb7cad9b2a576eb1015a,Air Walks,Boogie Frantick,Beginner,Yawn,https://www.youtube.com/watch?v=YE7VzlLtp-4,class-thumbnail-3.jpg
5f0bcb7cad9b2a576eb1015b,12 Point Arm Wave,Boogie Frantick,Beginner,1989,https://www.youtube.com/watch?v=YE7VzlLtp-4,class-thumbnail-3.jpg
5f0bcb7cad9b2a576eb1015c,Side Glide,Boogie Frantick,Beginner,Lamp Lamp,https://www.youtube.com/watch?v=YE7VzlLtp-4,class-thumbnail-1.jpg
5f0bcb7cad9b2a576eb1015d,4 Corners,Boogie Frantick,Beginner,"Lamp Lamp,May Weather",https://www.youtube.com/watch?v=YE7VzlLtp-4,class-thumbnail-2.jpg
5f0bcb7cad9b2a576eb1015e,New School Smurf,Brandon BeastBoi Juezan,Beginner,"Let's Get Down",https://www.youtube.com/watch?v=YE7VzlLtp-4,class-thumbnail-3.jpg
5f0bcb7cad9b2a576eb1015f,Roger Rabbit,Brandon BeastBoi Juezan,Beginner,Poison,https://www.youtube.com/watch?v=YE7VzlLtp-4,class-thumbnail-2.jpg
5f0bcb7cad9b2a576eb10160,Bankhead Bounce,Brandon BeastBoi Juezan,Beginner,Rosa Parks,https://www.youtube.com/watch?v=YE7VzlLtp-4,class-thumbnail-1.jpg
5f0bcb7cad9b2a576eb10161,Prep,Brandon BeastBoi Juezan,Beginner,No Diggity,https://www.youtube.com/watch?v=YE7VzlLtp-4,class-thumbnail-1.jpg
5f0bcb7cad9b2a576eb10162,Bart Simpson,Brandon BeastBoi Juezan,Beginner,What About Your Friends,https://www.youtube.com/watch?v=YE7VzlLtp-4,class-thumbnail-3.jpg
5f0bcb7cad9b2a576eb10163,Running Man,Brandon BeastBoi Juezan,Beginner,Candy Rain,https://www.youtube.com/watch?v=YE7VzlLtp-4,class-thumbnail-3.jpg
5f0bcb7cad9b2a576eb10164,Reebok + Cabbage Patch,Brandon BeastBoi Juezan,Beginner,This Is How We Do It,https://www.youtube.com/watch?v=YE7VzlLtp-4,class-thumbnail-2.jpg
